Sl.No,Process Name,Thread No,Item,Time (in Microseconds)
1,Chef,1,Maach,1236
2,Chef,1,Dal,1625
3,Chef,2,Dal,1224
4,Chef,2,Bhaat,1459
5,Chef,3,Bhaat,1204
6,Chef,3,Maach,1453
7,Waiter,3,Maach,1270
8,Waiter,3,Dal,1499
9,Chef,1,Maach,1800
10,Chef,1,Dal,2060
11,Waiter,1,Dal,1400
12,Waiter,1,Bhaat,1728
13,Waiter,100,Bhaat,1362
14,Waiter,100,Maach,1646
15,Chef,2,Dal,1688
16,Chef,2,Bhaat,1798
17,Chef,3,Bhaat,1704
18,Chef,3,Maach,1926
19,Chef,1,Maach,2226
20,Chef,1,Dal,2441
21,Chef,2,Dal,1990
22,Chef,2,Bhaat,2198
23,Waiter,3,Maach,2091
24,Waiter,3,Dal,2377
25,Chef,1,Maach,2882
26,Chef,1,Dal,7459
27,Chef,3,Bhaat,2135
28,Chef,3,Maach,2340
29,Waiter,1,Dal,1941
30,Waiter,1,Bhaat,2216
31,Waiter,100,Bhaat,1890
32,Waiter,100,Maach,2140
33,Chef,2,Dal,2440
34,Chef,2,Bhaat,2567
35,Chef,1,Maach,7648
36,Chef,1,Dal,7856
37,Chef,3,Bhaat,2586
38,Chef,3,Maach,2771
39,Chef,2,Dal,2756
40,Chef,2,Bhaat,3005
41,Waiter,3,Maach,7428
42,Waiter,3,Dal,7554
43,Chef,1,Maach,8292
44,Chef,1,Dal,8394
45,Waiter,1,Dal,2462
46,Waiter,1,Bhaat,2706
47,Chef,3,Bhaat,2990
48,Chef,3,Maach,3218
49,Waiter,100,Bhaat,2401
50,Waiter,100,Maach,2621
51,Waiter,3,Maach,8009
52,Waiter,3,Dal,8204
53,Waiter,1,Dal,2985
54,Waiter,1,Bhaat,3201
55,Waiter,100,Bhaat,2865
56,Waiter,100,Maach,3124
57,Waiter,3,Maach,8419
58,Waiter,3,Dal,8629
59,Waiter,1,Dal,3425
60,Waiter,1,Bhaat,3695
61,Waiter,100,Bhaat,3421
62,Waiter,100,Maach,3664
63,Waiter,3,Maach,8880
64,Waiter,3,Dal,9000
